language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
kotlin,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
kotlin,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
kotlin,rename_symbol,U,medium,8,definition plus cross-file rename parity,"Support package and import-alias renames; handle class, object, companion, and extension members; add overload-safe fixture coverage.",unified patcher plus Kotlin symbol model,safe write parity,not a graph-runtime tool,2,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,Kotlin scoping and alias forms make symbol identity non-trivial
kotlin,update_symbol,U,medium,7,safe replace/update parity,Implement Kotlin-aware block replacement; preserve imports and companion/object semantics; validate extension functions and overloaded members.,unified patcher plus Kotlin formatter/import logic,safe write parity,not a graph-runtime tool,2,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,replacement is harder once extension and companion members are involved
kotlin,security_scan,P,high,10,full taint-analysis parity,"Add Spring, Ktor, and Android source/sink models; handle coroutine boundaries conservatively; add sanitizer and framework fixtures.",Java web parity plus Kotlin coroutine model,full security parity,not a graph-runtime tool,8,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,coroutines and mixed JVM frameworks need dedicated flow handling
kotlin,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
kotlin,cross_file_security_scan,U,very_high,14,cross-file taint parity,First add graph/runtime support for packages and imports; then add Spring/Ktor coroutine-aware taint propagation and DI handling.,Kotlin graph/runtime parity,cross-file security parity,not a graph-runtime tool,5,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,Kotlin inherits JVM framework complexity plus coroutine boundaries
kotlin,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add Kotlin lowering for functions, methods, nullability, and coroutine exclusions or semantics; define a minimal safe subset first.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,8,none,nullability plus coroutine features expand the design space
kotlin,generate_unit_tests,U,very_high,16,runtime test generation parity,Add Kotlin path extraction plus JUnit/Kotest-style emitter and JVM fixture coverage.,Kotlin symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,8,none,Kotlin requires both language and framework wiring
kotlin,simulate_refactor,U,very_high,13,language-aware safety parity,"Add Kotlin AST diffing, nullability/type checks, and object/companion awareness.",Kotlin parser and validation logic,refactor simulation parity,not a graph-runtime tool,8,JS/TS -> Java -> C# -> C/C++,nullability and companion/object semantics affect behavior
