language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
go,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
go,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
go,rename_symbol,U,medium,8,definition plus cross-file rename parity,Add parser-backed symbol span extraction; support package/import scope renames; preserve receiver-method boundaries; add golden rename and rollback tests.,unified patcher plus Go symbol model,safe write parity,not a graph-runtime tool,1,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,rename correctness depends on exact symbol ownership and conservative reference updates
go,update_symbol,U,medium,7,safe replace/update parity,Add Go-aware function and method replacement; preserve imports and formatting; validate receiver methods and package scopes; add semantic-validation tests.,unified patcher plus Go formatter/import logic,safe write parity,not a graph-runtime tool,1,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rewrites must preserve imports, formatting, and symbol ownership"
go,security_scan,P,high,10,full taint-analysis parity,"Add net/http, template, database, and os/exec source-sink models; support package and method flows conservatively; add context-aware fixtures.",security analyzer generalization plus Go package models,full security parity,not a graph-runtime tool,7,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,interface calls and package-level helpers complicate flow precision
go,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
go,cross_file_security_scan,U,very_high,14,cross-file taint parity,"First land import-aware call-graph/runtime support; then add package-level taint propagation, framework models, and dependency-chain fixtures.",Go graph/runtime parity,cross-file security parity,not a graph-runtime tool,4,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,"without graph parity, taint flow across files will be too lossy"
go,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add Go lowering, function/method semantics, loop/fuel policy, and conservative interface-call handling.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,7,none,interfaces and concurrency semantics need careful scoping
go,generate_unit_tests,U,very_high,16,runtime test generation parity,Add Go path extraction plus standard Go test emitter and assertion conventions.,Go symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,7,none,"the whole stack is missing, not just the emitter"
go,simulate_refactor,U,very_high,13,language-aware safety parity,"Add Go AST diffing, import and receiver-method awareness, and typed validation before claiming safe refactor support.",Go parser and validation logic,refactor simulation parity,not a graph-runtime tool,7,JS/TS -> Java -> C# -> C/C++,"without Go-specific structure, safety results would be superficial"
go,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
go,get_file_context,P,medium,6,high-quality file summaries,Add Go package/function/method summaries and import grouping with fixture coverage.,language-specific structure extraction,file overview parity,not a graph-runtime tool,4,JS/TS -> Java -> Go/Rust/PHP/Ruby,Go needs package-aware summaries to be useful
go,get_symbol_references,U,medium,2,reference parity,"Add Go canonical symbols, package/import resolution, and categorized reference fixtures.",Go graph/runtime parity,graph runtime unsupported,Level 0: unsupported,4,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,reference precision needs import-aware symbol identity
go,get_call_graph,U,medium,5,advanced call-graph parity,"Audit IR output quality; ensure top-level functions, methods, and call expressions are usable; add local parity, import-aware cross-file resolution, alias handling, confidence metadata, path/focus tests, Mermaid stability, and roadmap parity level.",local parity promotion plus import-aware resolution,graph runtime unsupported,Level 0: unsupported,4,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",Go is a good next cohort because imports and package structure are tractable
go,get_graph_neighborhood,U,medium,1,neighborhood parity,Reuse Go canonical node IDs after get_call_graph parity reaches import-aware support; add predictable unsupported behavior until then.,Go get_call_graph parity,graph runtime unsupported,Level 0: unsupported,4,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",neighborhood expansion before graph parity would duplicate work
go,get_cross_file_dependencies,U,high,4,dependency-chain parity,"Add Go chain assembly after import-aware graph parity lands; validate paths_from, paths_to, and focus behavior.",Go get_call_graph parity,graph runtime unsupported,Level 0: unsupported,4,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,dependency chains are downstream of import-aware graph resolution
go,get_project_map,U,medium_high,3,module and relationship parity,"Add Go module discovery, graph-derived relationships, hotspots, and stable summaries after graph parity lands.",Go graph/runtime parity,graph runtime unsupported,Level 0: unsupported,4,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,project maps are only valuable once relationships are trustworthy
go,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
go,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
go,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
go,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
