language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
csharp,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
csharp,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
csharp,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
csharp,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
csharp,security_scan,P,high,10,full taint-analysis parity,"Implement ASP.NET and serializer sources, EF and process sinks, async controller flow, and sanitizer recognition.",security analyzer generalization plus .NET web models,full security parity,not a graph-runtime tool,6,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,async pipelines and framework conventions require dedicated taint models
csharp,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
csharp,cross_file_security_scan,U,very_high,14,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",import/call graph plus taint flow plus framework models,unsupported,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
csharp,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add C# lowering, object and async semantics, and solver-friendly constraints with explicit unsupported dynamic cases.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,6,none,async and object semantics complicate exploration
csharp,generate_unit_tests,C,very_high,16,runtime test generation parity,Add C# path extraction plus NUnit/xUnit emitters; define supported OO/async subset and regression fixtures.,C# symbolic frontend plus NUnit/xUnit emitters,test generation parity,not a graph-runtime tool,5,none,"framework names are declared, but no C# runtime generator exists"
csharp,simulate_refactor,P,very_high,13,language-aware safety parity,"Add C# structural diffing, class/method/type validation, and conservative async behavior checks.",C# parser and validation logic,refactor simulation parity,not a graph-runtime tool,6,JS/TS -> Java -> C# -> C/C++,typed OO refactors need more than textual similarity
csharp,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
csharp,get_file_context,Y,low,not_needed,maintain current support,Default install now has a lightweight .cs fallback with namespace/class/method summaries and using handling backed by fixture coverage.,optional tree-sitter path can still deepen analysis,implemented,not a graph-runtime tool,,none,full parser-backed parity can still add richer semantics but base file overview is now integrated
csharp,get_symbol_references,U,medium,2,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",shared graph runtime plus import resolution plus symbol indexing,graph runtime unsupported,Level 0: unsupported,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,"reference quality depends on symbol identity, import handling, and call categorization"
csharp,get_call_graph,U,medium,5,advanced call-graph parity,"Implement namespace-aware symbol resolution, using-aware imports, local class methods, static methods, basic field-backed instance dispatch, inheritance fixtures, conservative interface-dispatch policy, and metadata/path tests.",canonical node scheme plus C# resolution helpers,graph runtime unsupported,Level 0: unsupported,10,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",namespace and OO dispatch semantics are needed before credible parity
csharp,get_graph_neighborhood,U,medium,1,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",get_call_graph parity plus canonical node IDs plus neighborhood extraction,graph runtime unsupported,Level 0: unsupported,,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",best ROI comes after call-graph expansion because neighborhood quality inherits node quality
csharp,get_cross_file_dependencies,U,high,4,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",graph runtime plus import resolution plus dependency chain assembly,graph runtime unsupported,Level 0: unsupported,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,runtime is relatively simple only after call-graph and confidence scoring are solid
csharp,get_project_map,U,medium_high,3,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",module discovery plus graph-derived relationships,graph runtime unsupported,Level 0: unsupported,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,language totals are easy; relationship maps need graph/runtime parity
