language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
rust,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
rust,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
rust,rename_symbol,U,medium,8,definition plus cross-file rename parity,"Handle modules and use-aliases; support impl methods, trait items, and associated functions conservatively; define macro exclusions; add cargo fixture tests.",unified patcher plus Rust path model,safe write parity,not a graph-runtime tool,6,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"traits, modules, and macros make precise rename boundaries easy to overclaim"
rust,update_symbol,U,medium,7,safe replace/update parity,"Support module, impl, and trait-item replacement; preserve use statements and formatting; define macro exclusions; add cargo fixture tests.",unified patcher plus Rust item model,safe write parity,not a graph-runtime tool,6,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"impls, traits, and macros require conservative range selection"
rust,security_scan,P,high,10,full taint-analysis parity,"Define web framework sources, unsafe/process/file sinks, sanitizer patterns, and conservative macro handling; add cargo-backed fixtures.",Rust API source-sink model,full security parity,not a graph-runtime tool,12,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,macros and ownership-aware APIs complicate flow tracking
rust,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
rust,cross_file_security_scan,U,very_high,14,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",import/call graph plus taint flow plus framework models,unsupported,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
rust,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add Rust lowering with ownership-aware semantics, pattern matching, and explicit macro exclusions.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,12,none,ownership and borrowing need dedicated semantics
rust,generate_unit_tests,U,very_high,16,runtime test generation parity,Add Rust path extraction plus cargo test emitter and ownership-aware assertion generation.,Rust symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,12,none,ownership semantics affect how generated tests must be structured
rust,simulate_refactor,U,very_high,13,language-aware safety parity,"Add Rust AST diffing, module/trait awareness, and ownership-related validation heuristics.",Rust parser and validation logic,refactor simulation parity,not a graph-runtime tool,12,JS/TS -> Java -> C# -> C/C++,ownership and trait behavior alter how code changes should be judged
