language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
swift,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
swift,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
swift,rename_symbol,U,medium,8,definition plus cross-file rename parity,"Support modules, extensions, protocols, and conformances; preserve member references across files; exclude selector and reflection-based cases; add SourceKit-backed fixtures.",unified patcher plus Swift symbol model,safe write parity,not a graph-runtime tool,5,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"protocols, extensions, and selectors complicate rename safety"
swift,update_symbol,U,medium,7,safe replace/update parity,"Support function, method, and type replacement with extension awareness; preserve imports; add protocol/conformance fixtures and rollback validation.",unified patcher plus Swift symbol/range logic,safe write parity,not a graph-runtime tool,5,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,extensions and protocol conformances complicate safe replacement scopes
swift,security_scan,P,high,10,full taint-analysis parity,Define Foundation/UIKit/server-side Swift sources and sinks; add sanitizer recognition; keep unresolved dynamic dispatch unsupported.,Swift app/server source-sink model,full security parity,not a graph-runtime tool,11,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,dynamic dispatch and platform diversity make Swift security modeling expensive
swift,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
swift,cross_file_security_scan,U,very_high,14,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",import/call graph plus taint flow plus framework models,unsupported,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
swift,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add Swift lowering for functions, methods, optionals, and a minimal safe subset before protocol-heavy features.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,11,none,"optionals, protocols, and value/reference semantics complicate modeling"
swift,generate_unit_tests,U,very_high,16,runtime test generation parity,Add Swift path extraction plus XCTest emitter and optionals-aware assertions.,Swift symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,11,none,Swift needs both frontend and assertion strategy work
swift,simulate_refactor,U,very_high,13,language-aware safety parity,"Add Swift AST diffing, protocol/extension awareness, and typed validation for safe subset refactors.",Swift parser and validation logic,refactor simulation parity,not a graph-runtime tool,11,JS/TS -> Java -> C# -> C/C++,protocols and extensions complicate impact analysis
swift,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
swift,get_file_context,U,medium,6,high-quality file summaries,Add module/type/function summaries with extension/protocol awareness.,language-specific structure extraction,file overview parity,not a graph-runtime tool,12,JS/TS -> Java -> Go/Rust/PHP/Ruby,extensions and protocols alter how symbols should be summarized
swift,get_symbol_references,U,medium,2,reference parity,Add module/type/member symbol IDs and categorized reference tests.,Swift graph/runtime parity,graph runtime unsupported,Level 0: unsupported,8,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,protocol and extension references complicate stable categorization
swift,get_call_graph,U,medium,5,advanced call-graph parity,"Promote Swift local parity, add module/type/member normalization, import-aware cross-file resolution, and extension/protocol-safe unsupported-case policy.",local parity promotion plus Swift symbol model,graph runtime unsupported,Level 0: unsupported,8,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",protocols and extensions complicate high-confidence dispatch
swift,get_graph_neighborhood,U,medium,1,neighborhood parity,Add Swift canonical node IDs and neighborhood extraction after call-graph parity lands.,Swift get_call_graph parity,graph runtime unsupported,Level 0: unsupported,8,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",extensions and protocols complicate neighborhood semantics
swift,get_cross_file_dependencies,U,high,4,dependency-chain parity,Add Swift chain assembly after graph parity lands with module/type/member resolution.,Swift get_call_graph parity,graph runtime unsupported,Level 0: unsupported,8,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,protocol/extension complexity propagates into chains
swift,get_project_map,U,medium_high,3,module and relationship parity,Add Swift module/type discovery and graph-derived relationships after graph parity lands.,Swift graph/runtime parity,graph runtime unsupported,Level 0: unsupported,8,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,protocol and extension relations need careful handling
swift,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
swift,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
swift,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
swift,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
swift,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
