language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
javascript,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
javascript,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
javascript,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
javascript,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
javascript,security_scan,P,high,10,full taint-analysis parity,"Replace sink-only handling with source, sink, sanitizer, and framework-aware taint models for browser and Node patterns; add reachability and remediation tests.",security analyzer generalization plus JS framework models,full security parity,not a graph-runtime tool,1,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,moving from sink detection to taint analysis requires real flow semantics
javascript,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
javascript,cross_file_security_scan,P,very_high,14,cross-file taint parity,"Reuse JS call graph and import resolution; add inter-file taint propagation, framework-aware source-to-sink tracing, confidence metadata, and deterministic fallback tests.",JS graph/runtime parity plus taint engine,cross-file security parity,not a graph-runtime tool,1,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint depends on a solid graph/runtime substrate
javascript,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Build a JavaScript symbolic frontend, type model, constraint translation, loop handling, and path extraction; add engine fixture coverage.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,1,none,the current symbolic engine is explicitly Python-shaped
javascript,generate_unit_tests,C,very_high,16,runtime test generation parity,Wire non-Python code parsing into the generation pipeline; emit Jest tests from language-specific execution paths; add fixtures and framework golden tests.,JS symbolic frontend plus Jest emitter,test generation parity,not a graph-runtime tool,1,none,"framework capability exists in metadata, but runtime generation is not wired"
javascript,simulate_refactor,P,very_high,13,language-aware safety parity,"Add JS AST diff fidelity, same-file behavior heuristics, and stronger semantic validation; add regression tests for imports and common refactors.",language-aware diff and validation,refactor simulation parity,not a graph-runtime tool,1,JS/TS -> Java -> C# -> C/C++,generic diff is not enough for trustworthy behavior claims
