language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
php,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
php,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
php,rename_symbol,U,medium,8,definition plus cross-file rename parity,Implement namespace and use-alias handling; support class/static members; exclude dynamic variable-function cases; add conservative unresolved-reference behavior.,unified patcher plus PHP namespace model,safe write parity,not a graph-runtime tool,3,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,PHP symbol resolution becomes unsafe once dynamic invocation enters the picture
php,update_symbol,U,medium,7,safe replace/update parity,Support namespace-aware replacement; preserve use imports and class/static members; define unsupported dynamic cases; add rollback tests.,unified patcher plus PHP namespace handling,safe write parity,not a graph-runtime tool,3,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,unsafe dynamic constructs must fail closed rather than patch guessed ranges
php,security_scan,P,high,10,full taint-analysis parity,"Model superglobals as sources; add SQL, template, file, and command sinks; recognize common framework sanitizers; add fixture coverage.",PHP runtime and framework taint models,full security parity,not a graph-runtime tool,9,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,superglobals and dynamic patterns create many false-positive traps
php,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
php,cross_file_security_scan,U,very_high,14,cross-file taint parity,"Add namespace/import-aware graph support; then add framework request flow, sink models, and conservative dynamic-call exclusions.",PHP graph/runtime parity,cross-file security parity,not a graph-runtime tool,6,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,"namespace graphs are tractable, but dynamic invocation must stay unsupported"
php,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add PHP lowering for functions, methods, arrays, and dynamic features with a strict unsupported subset.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,9,none,dynamic runtime behavior must be kept out of the trusted subset
php,generate_unit_tests,U,very_high,16,runtime test generation parity,Add PHP path extraction plus PHPUnit emitter and safe subset fixtures.,PHP symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,9,none,dynamic runtime semantics make automated expectations harder
php,simulate_refactor,U,very_high,13,language-aware safety parity,"Add PHP AST diffing, namespace and dynamic-feature policy, and fixture coverage for safe subset refactors.",PHP parser and validation logic,refactor simulation parity,not a graph-runtime tool,9,JS/TS -> Java -> C# -> C/C++,dynamic features require a strict fail-closed policy
php,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
php,get_file_context,P,medium,6,high-quality file summaries,Add namespace/class/function summaries and import/use handling; add fixture tests.,language-specific structure extraction,file overview parity,not a graph-runtime tool,5,JS/TS -> Java -> Go/Rust/PHP/Ruby,namespace-aware summaries matter more than raw file metadata
php,get_symbol_references,U,medium,2,reference parity,"Add namespace/use-aware symbol identity, reference categorization, and dynamic-call exclusions.",PHP graph/runtime parity,graph runtime unsupported,Level 0: unsupported,6,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,dynamic invocation must remain unsupported
php,get_call_graph,U,medium,5,advanced call-graph parity,"Promote PHP local parity, add namespace/module normalization, import/use resolution, cross-file symbol-chain fixtures, confidence metadata, and unsupported dynamic-call policy.",local parity promotion plus PHP namespace model,graph runtime unsupported,Level 0: unsupported,6,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++","namespace resolution is feasible, but dynamic invocation must fail closed"
php,get_graph_neighborhood,U,medium,1,neighborhood parity,Add PHP canonical node IDs and neighborhood extraction after call-graph parity lands; preserve conservative dynamic exclusions.,PHP get_call_graph parity,graph runtime unsupported,Level 0: unsupported,6,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",dynamic-call uncertainty propagates directly into neighborhoods
php,get_cross_file_dependencies,U,high,4,dependency-chain parity,Add PHP chain assembly after graph parity lands with namespace/use handling and conservative dynamic exclusions.,PHP get_call_graph parity,graph runtime unsupported,Level 0: unsupported,6,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,namespace resolution must be right before chains are useful
php,get_project_map,U,medium_high,3,module and relationship parity,Add PHP namespace/module discovery and graph-derived relationships after graph parity lands.,PHP graph/runtime parity,graph runtime unsupported,Level 0: unsupported,6,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,namespace maps need graph support to be useful
php,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
php,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
php,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
