language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
ruby,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
ruby,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
ruby,rename_symbol,U,medium,8,definition plus cross-file rename parity,Support module and class scopes; model mixins and reopen semantics conservatively; exclude metaprogrammed dynamic references; add fixture coverage.,unified patcher plus Ruby constant model,safe write parity,not a graph-runtime tool,4,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,Ruby allows many runtime-bound references that should not be guessed
ruby,update_symbol,U,medium,7,safe replace/update parity,Support class and module body replacement; preserve reopen semantics where safe; define metaprogramming exclusions; add fixture coverage.,unified patcher plus Ruby formatter/range logic,safe write parity,not a graph-runtime tool,4,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,Ruby rewrites are easy to get syntactically valid but semantically wrong
ruby,security_scan,P,high,10,full taint-analysis parity,"Model Rails params and request sources, ActiveRecord/ERB/process sinks, sanitizer helpers, and cross-method flows conservatively.",Ruby/Rails taint models,full security parity,not a graph-runtime tool,10,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,Ruby metaprogramming and Rails conventions make static flow analysis difficult
ruby,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
ruby,cross_file_security_scan,U,very_high,14,cross-file taint parity,Add module/class graph support; then model Rails controller-to-view/db flows conservatively and exclude metaprogrammed edges.,Ruby graph/runtime parity,cross-file security parity,not a graph-runtime tool,7,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,"Rails-style flow is useful, but Ruby dynamism makes safe resolution hard"
ruby,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,Add Ruby lowering with a narrow safe subset; exclude metaprogramming and dynamic dispatch until proven tractable.,new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,10,none,Ruby dynamism makes bounded symbolic execution especially hard
ruby,generate_unit_tests,U,very_high,16,runtime test generation parity,Add Ruby path extraction plus RSpec/Minitest emitter and conservative safe subset.,Ruby symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,10,none,Ruby dynamism complicates stable auto-generated expectations
ruby,simulate_refactor,U,very_high,13,language-aware safety parity,Add Ruby AST diffing for a narrow safe subset and exclude metaprogrammed behavior from safety claims.,Ruby parser and validation logic,refactor simulation parity,not a graph-runtime tool,10,JS/TS -> Java -> C# -> C/C++,metaprogramming makes static behavior-preservation claims risky
ruby,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
ruby,get_file_context,P,medium,6,high-quality file summaries,Add module/class/method summaries and require/include awareness with fixture coverage.,language-specific structure extraction,file overview parity,not a graph-runtime tool,6,JS/TS -> Java -> Go/Rust/PHP/Ruby,"Ruby files need semantic grouping, not just plain text inspection"
ruby,get_symbol_references,U,medium,2,reference parity,Add module/class symbol IDs and conservative reference categorization with metaprogramming exclusions.,Ruby graph/runtime parity,graph runtime unsupported,Level 0: unsupported,7,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,Ruby reference analysis must stay conservative around dynamic behavior
