language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
java,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
java,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
java,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
java,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
java,security_scan,P,high,10,full taint-analysis parity,"Implement servlet and Spring sources, JDBC and templating sinks, serialization risk models, sanitizer recognition, and cross-method taint propagation.",security analyzer generalization plus Java web models,full security parity,not a graph-runtime tool,3,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,Java parity needs framework-specific models and interprocedural flow
java,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
java,cross_file_security_scan,P,very_high,14,cross-file taint parity,"Add Spring and servlet inter-file flows, dependency-injection resolution, source/sink metadata, and conservative unresolved-bean handling.",Java graph foundations plus taint engine,cross-file security parity,not a graph-runtime tool,3,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,dependency injection and framework indirection are hard to resolve safely
java,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add Java IR-to-symbolic lowering, object and method-call semantics, loop limits, and solver-friendly constraint extraction.",new symbolic execution frontend,symbolic execution parity,not a graph-runtime tool,3,none,object-oriented symbolic execution is a separate engine track
java,generate_unit_tests,U,very_high,16,runtime test generation parity,"Add Java path extraction plus JUnit-style emitters, fixture corpus, and object-aware expectation generation.",Java symbolic frontend plus test emitter,test generation parity,not a graph-runtime tool,6,none,Java needs both path generation and emitter work
java,simulate_refactor,P,very_high,13,language-aware safety parity,"Add Java-aware AST diffing, typed method/class validation, and conservative OO behavior checks; add fixture coverage.",language-aware diff and validation,refactor simulation parity,not a graph-runtime tool,3,JS/TS -> Java -> C# -> C/C++,OO structure and typing drive many real regressions
java,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
java,get_file_context,P,medium,6,high-quality file summaries,"Add Java-aware class/method/import summaries, package handling, and complexity fixtures.",language-specific structure extraction,file overview parity,not a graph-runtime tool,3,JS/TS -> Java -> Go/Rust/PHP/Ruby,useful overviews need Java-specific shape extraction
java,get_symbol_references,P,medium,2,narrow Java definition/import/call/reference slice,"Maintain parser-backed Java class/method definitions plus conservative import static-import call-site and reference discovery; ambiguity now clears singular definition metadata and exposes structured disambiguation candidates, but broader identity hardening is still required before stronger claims.",Java parser-backed definitions plus conservative local reference scanning,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,3,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,"Java references are now real, but overloads inheritance and ambiguous names still need stricter symbol identity before broader parity claims"
java,get_call_graph,P,medium,5,stabilized Java slice,"Maintain the shared Java call-graph slice: canonical callable-node fixtures, type-import and static-import resolution, typed imported instance calls, superclass method dispatch, field-backed instance calls, and overload-aware selector identities now flowing through shared runtime paths. Java path-query validation and Mermaid/path-metadata fixtures are covered.",Java file discovery and canonical node emission already landed,Level 4: typed/OO dispatch,Level 4: typed/OO dispatch,3,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++","Java now has a real typed/OO slice with overload-aware identities, but broader parity still depends on conservative selector resolution"
java,get_graph_neighborhood,P,medium,1,narrow Java method-node neighborhood slice,"Maintain Java node-ID acceptance for canonical and signature-qualified method nodes, local Community neighborhoods, shared-runtime Pro/Enterprise cross-file neighborhoods, and direct metadata/Mermaid/capability fixtures.",stabilized Java get_call_graph slice,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,3,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust","this tool now depends on Java call-graph IDs staying trustworthy across canonical and overload-qualified selectors"
java,get_cross_file_dependencies,P,high,4,narrow Java method dependency slice,"Maintain Java chain assembly on top of the shared Java runtime, including override dispatch, metadata/Mermaid coverage, ambiguity guidance, and direct structured-selector inputs such as Helper.tool(int).",stabilized Java get_call_graph slice,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,3,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,"without stable selector identities and conservative argument typing, dependency chains become noisy"
java,get_project_map,P,medium_high,3,narrow Java module and relationship slice,"Maintain Java module discovery, canonical class/method inventory, and Pro/Enterprise file relationships from explicit imports/static imports; keep deeper architectural inference conservative.",stabilized Java get_call_graph slice,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,3,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,"counting files is cheap; accurate relationship derivation is not"
java,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
java,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
java,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
java,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
java,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
