tool,py,js,ts,java,c,cpp,csharp,go,kotlin,php,ruby,swift,rust,difficulty,easy_win_rank,depends_on,recommended_next_language_order,why_it_is_hard
analyze_code,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,low,not_needed,"parser/normalizer maintenance only",none,"already broad; remaining work is mostly parser quality and test depth"
extract_code,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,low,not_needed,"polyglot extractor plus normalizers",none,"already broad; biggest gap is feature uniformity, not language onboarding"
rename_symbol,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,U,U,medium,8,"unified patcher language support plus per-language rename semantics","Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust","rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
update_symbol,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,U,U,medium,7,"unified patcher and language-aware replacement semantics","Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust","safe patching needs robust per-language rewrite semantics and post-save verification"
security_scan,Y,P,P,P,P,P,P,P,P,P,P,P,P,high,10,"language-specific taint/source/sink/sanitizer models","JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust","real vulnerability analysis becomes expensive once each language/framework needs distinct taint rules"
unified_sink_detect,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,low,not_needed,"sink pattern packs plus language detection",none,"already broad; hardest remaining work is sink quality tuning, not language reach"
cross_file_security_scan,Y,P,P,P,U,U,U,U,U,U,U,U,U,very_high,14,"import/call graph plus taint flow plus framework models","JS/TS -> Java -> Go/Kotlin -> PHP/Ruby","cross-file taint is one of the hardest semantic engines to generalize"
symbolic_execute,Y,U,U,U,U,U,U,U,U,U,U,U,U,very_high,15,"new symbolic execution frontend per language",none,"current engine is explicitly Python-specific"
generate_unit_tests,Y,C,C,U,C,C,C,U,U,U,U,U,U,very_high,16,"symbolic frontend plus per-language test generators",none,"capability metadata claims broader frameworks, but runtime is still Python-specific"
simulate_refactor,Y,P,P,P,P,P,P,U,U,U,U,U,U,very_high,13,"AST diffing plus behavior simulation plus optional type checking per language","JS/TS -> Java -> C# -> C/C++","safe refactor simulation needs language-aware structure, typing, and behavior heuristics"
crawl_project,Y,C,C,C,C,C,C,C,C,C,C,C,C,medium,9,"discovery helpers plus per-language file summarizers","JS/TS -> Java -> Go/Kotlin","discovery is easy; meaningful semantic crawl quality is not"
get_file_context,Y,P,P,P,U,U,U,P,U,P,P,U,P,medium,6,"file summarization helpers plus language-specific structure extraction","JS/TS -> Java -> Go/Rust/PHP/Ruby","overview is broad, but good summaries for functions/classes/imports need per-language shape support"
get_symbol_references,Y,P,P,U,U,U,U,U,U,U,U,U,U,medium,2,"shared graph runtime plus import resolution plus symbol indexing","Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++","reference quality depends on symbol identity, import handling, and call categorization"
get_call_graph,Y,P,P,P,U,U,U,U,U,U,U,U,U,medium,5,"shared call-graph builder plus file discovery plus canonical node IDs","stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++","local same-file edges are cheap; import-aware and typed cross-file semantics are still costly"
get_graph_neighborhood,Y,P,P,U,U,U,U,U,U,U,U,U,U,medium,1,"get_call_graph parity plus canonical node IDs plus neighborhood extraction","Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust","best ROI comes after call-graph expansion because neighborhood quality inherits node quality"
get_cross_file_dependencies,Y,P,P,U,U,U,U,U,U,U,U,U,U,high,4,"graph runtime plus import resolution plus dependency chain assembly","Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust","runtime is relatively simple only after call-graph and confidence scoring are solid"
get_project_map,Y,P,P,C,U,U,U,U,U,U,U,U,U,medium_high,3,"module discovery plus graph-derived relationships","Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust","language totals are easy; relationship maps need graph/runtime parity"
type_evaporation_scan,P,P,Y,U,U,U,U,U,U,U,U,U,U,medium_high,12,"TypeScript boundary extraction plus Python backend correlation plus schema generation",none,"the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis"
scan_dependencies,A,A,A,A,A,A,A,A,A,A,A,A,A,low,not_needed,"manifest parser coverage by ecosystem",none,"source language matters less than package-manager support"
validate_paths,A,A,A,A,A,A,A,A,A,A,A,A,A,low,not_needed,none,none,"language-agnostic path validation"
verify_policy_integrity,A,A,A,A,A,A,A,A,A,A,A,A,A,low,not_needed,none,none,"language-agnostic cryptographic verification"
code_policy_check,A,A,A,A,A,A,A,A,A,A,A,A,A,medium,11,"policy rule libraries and language-specific rule packs where deeper parity is desired","JS/TS -> Java -> Python rule enrichment","the engine is generic, but meaningful parity depends on per-language rules"
