tool,language,current_status,target_capability,requirements,depends_on,parity_level_or_scope,recommended_order,difficulty,why_it_is_hard
rename_symbol,go,U,"definition plus cross-file rename parity","Add parser-backed symbol span extraction; support package/import scope renames; preserve receiver-method boundaries; add golden rename and rollback tests.","unified patcher plus Go symbol model","safe write parity",1,medium,"rename correctness depends on exact symbol ownership and conservative reference updates"
rename_symbol,kotlin,U,"definition plus cross-file rename parity","Support package and import-alias renames; handle class, object, companion, and extension members; add overload-safe fixture coverage.","unified patcher plus Kotlin symbol model","safe write parity",2,medium,"Kotlin scoping and alias forms make symbol identity non-trivial"
rename_symbol,php,U,"definition plus cross-file rename parity","Implement namespace and use-alias handling; support class/static members; exclude dynamic variable-function cases; add conservative unresolved-reference behavior.","unified patcher plus PHP namespace model","safe write parity",3,medium,"PHP symbol resolution becomes unsafe once dynamic invocation enters the picture"
rename_symbol,ruby,U,"definition plus cross-file rename parity","Support module and class scopes; model mixins and reopen semantics conservatively; exclude metaprogrammed dynamic references; add fixture coverage.","unified patcher plus Ruby constant model","safe write parity",4,medium,"Ruby allows many runtime-bound references that should not be guessed"
rename_symbol,swift,U,"definition plus cross-file rename parity","Support modules, extensions, protocols, and conformances; preserve member references across files; exclude selector and reflection-based cases; add SourceKit-backed fixtures.","unified patcher plus Swift symbol model","safe write parity",5,medium,"protocols, extensions, and selectors complicate rename safety"
rename_symbol,rust,U,"definition plus cross-file rename parity","Handle modules and use-aliases; support impl methods, trait items, and associated functions conservatively; define macro exclusions; add cargo fixture tests.","unified patcher plus Rust path model","safe write parity",6,medium,"traits, modules, and macros make precise rename boundaries easy to overclaim"
update_symbol,go,U,"safe replace/update parity","Add Go-aware function and method replacement; preserve imports and formatting; validate receiver methods and package scopes; add semantic-validation tests.","unified patcher plus Go formatter/import logic","safe write parity",1,medium,"rewrites must preserve imports, formatting, and symbol ownership"
update_symbol,kotlin,U,"safe replace/update parity","Implement Kotlin-aware block replacement; preserve imports and companion/object semantics; validate extension functions and overloaded members.","unified patcher plus Kotlin formatter/import logic","safe write parity",2,medium,"replacement is harder once extension and companion members are involved"
update_symbol,php,U,"safe replace/update parity","Support namespace-aware replacement; preserve use imports and class/static members; define unsupported dynamic cases; add rollback tests.","unified patcher plus PHP namespace handling","safe write parity",3,medium,"unsafe dynamic constructs must fail closed rather than patch guessed ranges"
update_symbol,ruby,U,"safe replace/update parity","Support class and module body replacement; preserve reopen semantics where safe; define metaprogramming exclusions; add fixture coverage.","unified patcher plus Ruby formatter/range logic","safe write parity",4,medium,"Ruby rewrites are easy to get syntactically valid but semantically wrong"
update_symbol,swift,U,"safe replace/update parity","Support function, method, and type replacement with extension awareness; preserve imports; add protocol/conformance fixtures and rollback validation.","unified patcher plus Swift symbol/range logic","safe write parity",5,medium,"extensions and protocol conformances complicate safe replacement scopes"
update_symbol,rust,U,"safe replace/update parity","Support module, impl, and trait-item replacement; preserve use statements and formatting; define macro exclusions; add cargo fixture tests.","unified patcher plus Rust item model","safe write parity",6,medium,"impls, traits, and macros require conservative range selection"
security_scan,javascript,P,"full taint-analysis parity","Replace sink-only handling with source, sink, sanitizer, and framework-aware taint models for browser and Node patterns; add reachability and remediation tests.","security analyzer generalization plus JS framework models","full security parity",1,high,"moving from sink detection to taint analysis requires real flow semantics"
security_scan,typescript,P,"full taint-analysis parity","Add type-aware taint propagation, TS framework models, sanitizer recognition, and tighter integration with type-evaporation findings; add regression fixtures.","JS security parity plus TS type surface","full security parity",2,high,"TypeScript adds type-only forms and framework conventions on top of JS flow"
security_scan,java,P,"full taint-analysis parity","Implement servlet and Spring sources, JDBC and templating sinks, serialization risk models, sanitizer recognition, and cross-method taint propagation.","security analyzer generalization plus Java web models","full security parity",3,high,"Java parity needs framework-specific models and interprocedural flow"
security_scan,c,P,"full taint-analysis parity","Define conservative source/sink taxonomy for process, file, network, and memory APIs; add sanitizer rules; avoid guessed dataflow across unresolved pointers.","C API source/sink model","full security parity",4,high,"pointer-heavy code makes taint propagation easy to overstate"
security_scan,cpp,P,"full taint-analysis parity","Add STL and common framework sink models; define conservative handling for templates, RAII wrappers, and operator overloads; add sanitizer coverage.","C parity plus C++ framework models","full security parity",5,high,"templates and wrappers obscure where tainted data really flows"
security_scan,csharp,P,"full taint-analysis parity","Implement ASP.NET and serializer sources, EF and process sinks, async controller flow, and sanitizer recognition.","security analyzer generalization plus .NET web models","full security parity",6,high,"async pipelines and framework conventions require dedicated taint models"
security_scan,go,P,"full taint-analysis parity","Add net/http, template, database, and os/exec source-sink models; support package and method flows conservatively; add context-aware fixtures.","security analyzer generalization plus Go package models","full security parity",7,high,"interface calls and package-level helpers complicate flow precision"
security_scan,kotlin,P,"full taint-analysis parity","Add Spring, Ktor, and Android source/sink models; handle coroutine boundaries conservatively; add sanitizer and framework fixtures.","Java web parity plus Kotlin coroutine model","full security parity",8,high,"coroutines and mixed JVM frameworks need dedicated flow handling"
security_scan,php,P,"full taint-analysis parity","Model superglobals as sources; add SQL, template, file, and command sinks; recognize common framework sanitizers; add fixture coverage.","PHP runtime and framework taint models","full security parity",9,high,"superglobals and dynamic patterns create many false-positive traps"
security_scan,ruby,P,"full taint-analysis parity","Model Rails params and request sources, ActiveRecord/ERB/process sinks, sanitizer helpers, and cross-method flows conservatively.","Ruby/Rails taint models","full security parity",10,high,"Ruby metaprogramming and Rails conventions make static flow analysis difficult"
security_scan,swift,P,"full taint-analysis parity","Define Foundation/UIKit/server-side Swift sources and sinks; add sanitizer recognition; keep unresolved dynamic dispatch unsupported.","Swift app/server source-sink model","full security parity",11,high,"dynamic dispatch and platform diversity make Swift security modeling expensive"
security_scan,rust,P,"full taint-analysis parity","Define web framework sources, unsafe/process/file sinks, sanitizer patterns, and conservative macro handling; add cargo-backed fixtures.","Rust API source-sink model","full security parity",12,high,"macros and ownership-aware APIs complicate flow tracking"
cross_file_security_scan,javascript,P,"cross-file taint parity","Reuse JS call graph and import resolution; add inter-file taint propagation, framework-aware source-to-sink tracing, confidence metadata, and deterministic fallback tests.","JS graph/runtime parity plus taint engine","cross-file security parity",1,very_high,"cross-file taint depends on a solid graph/runtime substrate"
cross_file_security_scan,typescript,P,"cross-file taint parity","Extend JS cross-file taint with TS path aliases, type-only imports, and framework metadata; add tier and truncation tests.","JS cross-file parity plus TS import model","cross-file security parity",2,very_high,"type-only constructs and aliasing increase graph ambiguity"
cross_file_security_scan,java,P,"cross-file taint parity","Add Spring and servlet inter-file flows, dependency-injection resolution, source/sink metadata, and conservative unresolved-bean handling.","Java graph foundations plus taint engine","cross-file security parity",3,very_high,"dependency injection and framework indirection are hard to resolve safely"
cross_file_security_scan,go,U,"cross-file taint parity","First land import-aware call-graph/runtime support; then add package-level taint propagation, framework models, and dependency-chain fixtures.","Go graph/runtime parity","cross-file security parity",4,very_high,"without graph parity, taint flow across files will be too lossy"
cross_file_security_scan,kotlin,U,"cross-file taint parity","First add graph/runtime support for packages and imports; then add Spring/Ktor coroutine-aware taint propagation and DI handling.","Kotlin graph/runtime parity","cross-file security parity",5,very_high,"Kotlin inherits JVM framework complexity plus coroutine boundaries"
cross_file_security_scan,php,U,"cross-file taint parity","Add namespace/import-aware graph support; then add framework request flow, sink models, and conservative dynamic-call exclusions.","PHP graph/runtime parity","cross-file security parity",6,very_high,"namespace graphs are tractable, but dynamic invocation must stay unsupported"
cross_file_security_scan,ruby,U,"cross-file taint parity","Add module/class graph support; then model Rails controller-to-view/db flows conservatively and exclude metaprogrammed edges.","Ruby graph/runtime parity","cross-file security parity",7,very_high,"Rails-style flow is useful, but Ruby dynamism makes safe resolution hard"
symbolic_execute,javascript,U,"language frontend plus path exploration parity","Build a JavaScript symbolic frontend, type model, constraint translation, loop handling, and path extraction; add engine fixture coverage.","new symbolic execution frontend","symbolic execution parity",1,very_high,"the current symbolic engine is explicitly Python-shaped"
symbolic_execute,typescript,U,"language frontend plus path exploration parity","Add TS parser frontend, type-aware symbolic variables, constraint lowering, and framework-free core fixtures before any frontend extras.","JS symbolic frontend plus TS types","symbolic execution parity",2,very_high,"type-rich TS still needs runtime-semantics modeling"
