language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
cpp,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
cpp,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
cpp,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
cpp,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
cpp,security_scan,P,high,10,full taint-analysis parity,"Add STL and common framework sink models; define conservative handling for templates, RAII wrappers, and operator overloads; add sanitizer coverage.",C parity plus C++ framework models,full security parity,not a graph-runtime tool,5,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,templates and wrappers obscure where tainted data really flows
cpp,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
cpp,cross_file_security_scan,U,very_high,14,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",import/call graph plus taint flow plus framework models,unsupported,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
cpp,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add C++ lowering with conservative class/template policy, object semantics, and memory model boundaries.",C symbolic frontend plus C++ object model,symbolic execution parity,not a graph-runtime tool,5,none,templates and object semantics expand the state space quickly
cpp,generate_unit_tests,C,very_high,16,runtime test generation parity,Add C++ path extraction and assertion rendering plus Catch2/GoogleTest emitters; define conservative OO/template subset.,C++ symbolic frontend plus Catch2/GoogleTest emitters,test generation parity,not a graph-runtime tool,4,none,OO and template behavior must be narrowed before emitting tests safely
cpp,simulate_refactor,P,very_high,13,language-aware safety parity,"Add C++ structural diffing, method/class awareness, and conservative template/overload handling.",C++ parser and validation logic,refactor simulation parity,not a graph-runtime tool,5,JS/TS -> Java -> C# -> C/C++,templates and overloads make structural equivalence harder to prove
cpp,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
