language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
c,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
c,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
c,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
c,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
c,security_scan,P,high,10,full taint-analysis parity,"Define conservative source/sink taxonomy for process, file, network, and memory APIs; add sanitizer rules; avoid guessed dataflow across unresolved pointers.",C API source/sink model,full security parity,not a graph-runtime tool,4,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,pointer-heavy code makes taint propagation easy to overstate
c,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
c,cross_file_security_scan,U,very_high,14,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",import/call graph plus taint flow plus framework models,unsupported,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,cross-file taint is one of the hardest semantic engines to generalize
c,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add C control-flow lowering, pointer/memory model policy, arithmetic semantics, and conservative unsupported-case handling.",new symbolic execution frontend plus memory model,symbolic execution parity,not a graph-runtime tool,4,none,memory and pointer semantics make C symbolic execution non-trivial
c,generate_unit_tests,C,very_high,16,runtime test generation parity,"Add C path extraction, assertion rendering, and Catch2-oriented output; define supported subset and fixtures.",C symbolic frontend plus Catch2 emitter,test generation parity,not a graph-runtime tool,3,none,"metadata claims framework support, but no runtime path engine exists"
c,simulate_refactor,P,very_high,13,language-aware safety parity,"Add C-aware structural diffing, function/global analysis, and conservative pointer-related warnings; add parser-backed fixtures.",language-aware diff and validation,refactor simulation parity,not a graph-runtime tool,4,JS/TS -> Java -> C# -> C/C++,C changes can alter behavior through globals and pointer use
c,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
c,get_file_context,U,medium,6,high-quality file summaries,"Add C function/struct/include summaries, preprocessor-aware fallbacks, and conservative complexity heuristics.",language-specific structure extraction,file overview parity,not a graph-runtime tool,8,JS/TS -> Java -> Go/Rust/PHP/Ruby,preprocessor noise makes useful summarization harder
c,get_symbol_references,U,medium,2,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",shared graph runtime plus import resolution plus symbol indexing,graph runtime unsupported,Level 0: unsupported,,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,"reference quality depends on symbol identity, import handling, and call categorization"
c,get_call_graph,U,medium,5,advanced call-graph parity,"Define advanced parity scope for C, add same-file static/internal function distinction, header/source de-duplication, conservative function-pointer handling, multi-file include fixtures, and explicit unsupported-case docs.",canonical node scheme plus C-specific policy,graph runtime unsupported,Level 0: unsupported,11,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++","C has fewer abstractions, but headers and function pointers create their own pitfalls"
