language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
typescript,analyze_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,parser/normalizer maintenance only,implemented,not a graph-runtime tool,,none,already broad; remaining work is mostly parser quality and test depth
typescript,extract_code,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,polyglot extractor plus normalizers,implemented,not a graph-runtime tool,,none,"already broad; biggest gap is feature uniformity, not language onboarding"
typescript,rename_symbol,Y,medium,8,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher language support plus per-language rename semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,"rename safety depends on symbol-boundary accuracy and reference updates, not just parsing"
typescript,update_symbol,Y,medium,7,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,unified patcher and language-aware replacement semantics,implemented,not a graph-runtime tool,,Go -> Kotlin -> PHP -> Ruby -> Swift -> Rust,safe patching needs robust per-language rewrite semantics and post-save verification
typescript,security_scan,P,high,10,full taint-analysis parity,"Add type-aware taint propagation, TS framework models, sanitizer recognition, and tighter integration with type-evaporation findings; add regression fixtures.",JS security parity plus TS type surface,full security parity,not a graph-runtime tool,2,JS/TS -> Java -> Go/Kotlin/PHP/Ruby -> C#/C/C++ -> Swift/Rust,TypeScript adds type-only forms and framework conventions on top of JS flow
typescript,unified_sink_detect,Y,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,sink pattern packs plus language detection,implemented,not a graph-runtime tool,,none,"already broad; hardest remaining work is sink quality tuning, not language reach"
typescript,cross_file_security_scan,P,very_high,14,cross-file taint parity,"Extend JS cross-file taint with TS path aliases, type-only imports, and framework metadata; add tier and truncation tests.",JS cross-file parity plus TS import model,cross-file security parity,not a graph-runtime tool,2,JS/TS -> Java -> Go/Kotlin -> PHP/Ruby,type-only constructs and aliasing increase graph ambiguity
typescript,symbolic_execute,U,very_high,15,language frontend plus path exploration parity,"Add TS parser frontend, type-aware symbolic variables, constraint lowering, and framework-free core fixtures before any frontend extras.",JS symbolic frontend plus TS types,symbolic execution parity,not a graph-runtime tool,2,none,type-rich TS still needs runtime-semantics modeling
typescript,generate_unit_tests,C,very_high,16,runtime test generation parity,Wire TS analysis into the pipeline; emit Jest tests with TS-friendly assertions and module handling; add fixture coverage.,TS symbolic frontend plus Jest emitter,test generation parity,not a graph-runtime tool,2,none,claimed framework support is not the same as path generation support
typescript,simulate_refactor,P,very_high,13,language-aware safety parity,"Extend JS simulation with TS-aware type-error detection, import/alias handling, and stronger semantic validation.",JS refactor parity plus TS type checks,refactor simulation parity,not a graph-runtime tool,2,JS/TS -> Java -> C# -> C/C++,type-aware validation is required to make TS results credible
typescript,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
typescript,get_file_context,Y,medium,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,file summarization helpers plus language-specific structure extraction,implemented,not a graph-runtime tool,,JS/TS -> Java -> Go/Rust/PHP/Ruby,overview quality still depends on language-aware extraction for functions interfaces imports and complexity
typescript,get_symbol_references,P,medium,2,reference parity,"Extend JS parity with TS path aliases, type-only imports, and stable reference categorization.",JS reference parity plus TS import model,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,2,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,type-only constructs and aliases add ambiguity
typescript,get_call_graph,P,medium,5,advanced call-graph parity,"Do the JavaScript work plus TS path aliases, type-only imports, and method parity coverage where advanced resolution is enabled.",JS call-graph parity plus TS import model,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,2,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",TypeScript adds extra import and type-system surface area
typescript,get_graph_neighborhood,P,medium,1,neighborhood parity,Extend JS neighborhood parity with TS method-node and alias-aware validation where advanced resolution exists.,get_call_graph TS parity,Level 2: same-file call edges,Level 2: same-file call edges,2,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",method-node parity depends on upstream TS node stability
typescript,get_cross_file_dependencies,P,high,4,dependency-chain parity,Extend JS parity with TS alias and type-only import handling plus metadata-limit tests.,TS get_call_graph parity,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,2,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,type-only and alias constructs affect chain assembly
typescript,get_project_map,P,medium_high,3,module and relationship parity,"Extend JS parity with TS alias-aware module relationships, symbol summaries, and graph-derived edges.",TS graph/runtime parity,Level 3: import-aware cross-file resolution,Level 3: import-aware cross-file resolution,2,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,relationship accuracy depends on TS import normalization
typescript,type_evaporation_scan,Y,medium_high,12,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,TypeScript boundary extraction plus Python backend correlation plus schema generation,implemented,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
typescript,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
typescript,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
typescript,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
typescript,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
