9.6M	docs/testing
868K	docs/analysis
784K	docs/tools
592K	docs/release_notes
520K	docs/DEVELOPMENT_ROADMAP.md
492K	docs/roadmap
444K	docs/research
340K	docs/architecture
292K	docs/guides
176K	docs/week_1_launch
168K	docs/parsers
164K	docs/go_to_market
156K	docs/PROJECT_REORG_REFACTOR.md
152K	docs/reference
120K	docs/archive
108K	docs/modules
92K	docs/deployment
60K	docs/todo_reports
60K	docs/PROJECT_INDEX.md
56K	docs/configuration
56K	docs/compliance
48K	docs/stress.md
48K	docs/features
40K	docs/code_scalpel_assessment_checklist_FILLED.md
40K	docs/adr
32K	docs/getting_started
32K	docs/V1.0_ROADMAP.md
32K	docs/COMPREHENSIVE_GUIDE.md
28K	docs/GOVERNANCE_ENFORCEMENT_STATUS.md
28K	docs/AI_AGENT_TOOL_GUIDE.md
24K	docs/V1.0_ROADMAP_COMPREHENSIVE.md
24K	docs/TEST_SUITE_BREAKDOWN.md
20K	docs/code_scalpel_assessment_checklist.md
20K	docs/TIER_CONFIGURATION.md
12K	docs/issues
12K	docs/README.md
12K	docs/INDEX.md
12K	docs/BETA_OUTREACH_STRATEGY.md
8.0K	docs/security
8.0K	docs/TODO_FORMAT_STANDARDIZATION.md
8.0K	docs/ROADMAP_SUMMARY.md
8.0K	docs/ROADMAP_INDEX.md
8.0K	docs/QUICK_SETUP_GUIDE.md
8.0K	docs/QUICK_REFERENCE_DOCS.md
8.0K	docs/MIGRATION_v3.2_to_v3.3.md
8.0K	docs/DOCUMENT_REORGANIZATION_20260108.md
8.0K	docs/ASSESSMENT_SUMMARY.md
8.0K	docs/ASSESSMENT_QUICK_REFERENCE.md
8.0K	docs/ASSESSMENT_INDEX.md
4.0K	docs/technical_debt.md
4.0K	docs/performance
4.0K	docs/ci_cd
4.0K	docs/CUSTOMER_COMMUNICATION_v4.md
